ARGUMENTS:
MAXNUM: 1000000000001
SEGMENT LENGTH: 100000000
SAVE? false
START_NUM: 3
Initializing sieving primes
0.01s:	Starting main sieving!
6.3s: [11] 0.6%	Current number of primes found by process: 18196126	ETA: 977.3s
6.3s: [15] 0.6%	Current number of primes found by process: 18013599	ETA: 979.5s
6.3s: [7] 0.6%	Current number of primes found by process: 18446786	ETA: 980.7s
6.3s: [14] 0.6%	Current number of primes found by process: 18056777	ETA: 983.6s
6.4s: [13] 0.6%	Current number of primes found by process: 18097909	ETA: 984.4s
6.4s: [8] 0.6%	Current number of primes found by process: 18373069	ETA: 984.5s
6.4s: [12] 0.6%	Current number of primes found by process: 18147405	ETA: 985.6s
6.4s: [0] 0.6%	Current number of primes found by process: 20124831	ETA: 986.9s
6.4s: [1] 0.6%	Current number of primes found by process: 19359331	ETA: 987.0s
6.4s: [6] 0.6%	Current number of primes found by process: 18528633	ETA: 990.6s
6.4s: [10] 0.6%	Current number of primes found by process: 18249559	ETA: 991.0s
6.4s: [2] 0.6%	Current number of primes found by process: 19067435	ETA: 992.5s
6.4s: [9] 0.6%	Current number of primes found by process: 18307982	ETA: 995.2s
6.4s: [5] 0.6%	Current number of primes found by process: 18624520	ETA: 996.9s
6.5s: [3] 0.6%	Current number of primes found by process: 18877094	ETA: 1013.9s
6.6s: [4] 0.6%	Current number of primes found by process: 18735647	ETA: 1018.4s
12.6s: [11] 1.3%	Current number of primes found by process: 35553185	ETA: 977.3s
12.6s: [7] 1.3%	Current number of primes found by process: 35871563	ETA: 974.0s
12.7s: [15] 1.3%	Current number of primes found by process: 35314234	ETA: 976.5s
12.7s: [12] 1.3%	Current number of primes found by process: 35491735	ETA: 977.1s
12.7s: [13] 1.3%	Current number of primes found by process: 35426429	ETA: 978.9s
12.7s: [14] 1.3%	Current number of primes found by process: 35375920	ETA: 980.7s
12.7s: [1] 1.3%	Current number of primes found by process: 36888662	ETA: 978.2s
12.7s: [6] 1.3%	Current number of primes found by process: 35965917	ETA: 975.1s
12.7s: [10] 1.3%	Current number of primes found by process: 35624584	ETA: 975.0s
12.7s: [0] 1.3%	Current number of primes found by process: 37676302	ETA: 979.8s
12.7s: [2] 1.3%	Current number of primes found by process: 36575734	ETA: 975.2s
12.7s: [9] 1.3%	Current number of primes found by process: 35701650	ETA: 973.1s
12.7s: [4] 1.3%	Current number of primes found by process: 36207927	ETA: 950.8s
12.7s: [8] 1.3%	Current number of primes found by process: 35776714	ETA: 985.1s
12.8s: [5] 1.3%	Current number of primes found by process: 36080992	ETA: 975.2s
12.8s: [3] 1.3%	Current number of primes found by process: 36368214	ETA: 959.8s
19.0s: [11] 1.9%	Current number of primes found by process: 52551214	ETA: 970.6s
19.0s: [15] 1.9%	Current number of primes found by process: 52278048	ETA: 969.6s
19.0s: [13] 1.9%	Current number of primes found by process: 52406084	ETA: 970.0s
19.0s: [12] 1.9%	Current number of primes found by process: 52479362	ETA: 972.3s
19.0s: [14] 1.9%	Current number of primes found by process: 52346823	ETA: 971.0s
19.0s: [7] 1.9%	Current number of primes found by process: 52905106	ETA: 981.8s
