Intel(R) Parallel Studio XE 2020 Update 4 for Linux*
Copyright 2009-2020 Intel Corporation.
ARGUMENTS:
MAXNUM: 1000000000001
SEGMENT LENGTH: 100000000
SAVE? false
START_NUM: 3
Initializing sieving primes
53307435.79s:	Starting main sieving!
53307441.5s: [10] 2.6%	Current number of primes found by process: 17855046	ETA: 218.4s
53307441.6s: [18] 2.6%	Current number of primes found by process: 17580222	ETA: 222.5s
53307441.7s: [22] 2.6%	Current number of primes found by process: 17480609	ETA: 223.2s
53307441.7s: [19] 2.6%	Current number of primes found by process: 17553535	ETA: 223.3s
53307441.7s: [24] 2.6%	Current number of primes found by process: 17436501	ETA: 223.5s
53307738.8s: [58] 2.6%	Current number of primes found by process: 16985752	ETA: 223.9s
53307738.8s: [56] 2.6%	Current number of primes found by process: 17003500	ETA: 224.2s
53307738.8s: [60] 2.6%	Current number of primes found by process: 16970457	ETA: 224.2s
53307738.8s: [51] 2.6%	Current number of primes found by process: 17055951	ETA: 224.3s
53307738.8s: [52] 2.6%	Current number of primes found by process: 17042531	ETA: 224.5s
53307738.8s: [54] 2.6%	Current number of primes found by process: 17023921	ETA: 224.5s
53307738.8s: [38] 2.6%	Current number of primes found by process: 17208051	ETA: 224.6s
53307738.8s: [61] 2.6%	Current number of primes found by process: 16960810	ETA: 224.7s
53307738.8s: [44] 2.6%	Current number of primes found by process: 17132441	ETA: 224.8s
53307738.8s: [63] 2.6%	Current number of primes found by process: 16942817	ETA: 224.9s
53307738.8s: [42] 2.6%	Current number of primes found by process: 17157736	ETA: 225.1s
53307738.8s: [53] 2.6%	Current number of primes found by process: 17038823	ETA: 225.1s
53307738.8s: [49] 2.6%	Current number of primes found by process: 17077345	ETA: 225.2s
53307441.7s: [30] 2.6%	Current number of primes found by process: 17329093	ETA: 225.3s
53307738.8s: [59] 2.6%	Current number of primes found by process: 16976098	ETA: 225.2s
53307738.8s: [62] 2.6%	Current number of primes found by process: 16951230	ETA: 225.3s
